epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3489.16,0.96845,0.88099,1.18348,0.86578,0.86134,0.91165,0.6784,0.93559,0.6326,1.07755,0.005842,0.005842,0.005842
44,3570.07,0.9667,0.87984,1.18084,0.86336,0.86231,0.9135,0.67978,0.93106,0.62897,1.07466,0.005743,0.005743,0.005743
45,3650.4,0.96881,0.87345,1.18174,0.86826,0.86187,0.91449,0.68196,0.92957,0.62656,1.0739,0.005644,0.005644,0.005644
46,3731.07,0.9605,0.86924,1.17875,0.86659,0.86377,0.91475,0.68334,0.92583,0.62415,1.07236,0.005545,0.005545,0.005545
47,3811.53,0.95798,0.86441,1.17552,0.86763,0.86562,0.91489,0.68385,0.92442,0.62078,1.0714,0.005446,0.005446,0.005446
48,3892.07,0.95493,0.86219,1.17406,0.86672,0.86923,0.91614,0.68588,0.92362,0.61972,1.07022,0.005347,0.005347,0.005347
49,3972.36,0.95022,0.86115,1.1711,0.86742,0.87088,0.91641,0.68639,0.92184,0.6178,1.06881,0.005248,0.005248,0.005248
50,4052.55,0.94739,0.8507,1.16589,0.86993,0.8718,0.91653,0.68715,0.92085,0.61498,1.06814,0.005149,0.005149,0.005149
51,4133.47,0.94633,0.84039,1.16756,0.87151,0.87125,0.91691,0.68806,0.91955,0.61253,1.0672,0.00505,0.00505,0.00505
52,4214.32,0.94653,0.84457,1.16729,0.87415,0.86997,0.91689,0.68862,0.91746,0.61034,1.06536,0.004951,0.004951,0.004951
53,4294.93,0.93455,0.83893,1.16432,0.8752,0.86868,0.91822,0.68949,0.91515,0.60811,1.06366,0.004852,0.004852,0.004852
54,4375.35,0.93251,0.83278,1.16422,0.87304,0.87401,0.91917,0.69022,0.91302,0.60702,1.06252,0.004753,0.004753,0.004753
55,4455.78,0.92907,0.82266,1.15819,0.87695,0.86941,0.91949,0.69094,0.91186,0.60557,1.06174,0.004654,0.004654,0.004654
56,4536.62,0.92856,0.82668,1.15658,0.87258,0.87414,0.92048,0.69186,0.91076,0.60348,1.06065,0.004555,0.004555,0.004555
57,4617.44,0.92891,0.82057,1.15396,0.87678,0.87328,0.92092,0.69283,0.90946,0.60212,1.05981,0.004456,0.004456,0.004456
58,4697.82,0.92199,0.81056,1.15246,0.87779,0.87456,0.92129,0.69304,0.90805,0.60074,1.05869,0.004357,0.004357,0.004357
59,4778.16,0.91775,0.80535,1.15162,0.87952,0.87401,0.92156,0.69398,0.90689,0.59896,1.0575,0.004258,0.004258,0.004258
60,4858.5,0.91528,0.80439,1.14891,0.88073,0.87272,0.92156,0.6949,0.90611,0.59779,1.05704,0.004159,0.004159,0.004159
61,4939.33,0.9165,0.8021,1.14906,0.88206,0.87208,0.92177,0.69521,0.90467,0.59626,1.05614,0.00406,0.00406,0.00406
62,5019.78,0.90937,0.8037,1.14881,0.88312,0.87346,0.92217,0.69598,0.9037,0.59434,1.05582,0.003961,0.003961,0.003961
63,5100.1,0.90949,0.78981,1.14732,0.88293,0.87438,0.92234,0.69645,0.9026,0.5931,1.05508,0.003862,0.003862,0.003862
64,5180.47,0.90493,0.78895,1.14409,0.8845,0.87331,0.92218,0.69667,0.90168,0.59178,1.05447,0.003763,0.003763,0.003763
65,5261.09,0.90134,0.78159,1.13998,0.88438,0.87548,0.92294,0.69749,0.9004,0.591,1.05346,0.003664,0.003664,0.003664
66,5341.73,0.89854,0.78551,1.13661,0.88465,0.87475,0.92324,0.69762,0.89941,0.58992,1.05271,0.003565,0.003565,0.003565
67,5422.52,0.89704,0.77278,1.13952,0.88804,0.87548,0.92383,0.69809,0.89872,0.58821,1.05211,0.003466,0.003466,0.003466
68,5503.19,0.89217,0.76929,1.13308,0.88926,0.87434,0.92398,0.69905,0.8976,0.58685,1.05148,0.003367,0.003367,0.003367
69,5583.77,0.88541,0.7655,1.1304,0.89003,0.87378,0.92409,0.69903,0.89656,0.58545,1.05081,0.003268,0.003268,0.003268
70,5664.79,0.88104,0.7622,1.12973,0.88905,0.87364,0.92412,0.69953,0.89593,0.58385,1.05035,0.003169,0.003169,0.003169
71,5745.48,0.87987,0.75877,1.12776,0.89065,0.87291,0.92435,0.69971,0.89525,0.58257,1.0498,0.00307,0.00307,0.00307
72,5826.26,0.87945,0.76106,1.12723,0.89005,0.87248,0.9247,0.70045,0.89455,0.58182,1.04919,0.002971,0.002971,0.002971
73,5907.38,0.8736,0.74938,1.12375,0.89174,0.87113,0.9247,0.70082,0.8937,0.58022,1.04861,0.002872,0.002872,0.002872
74,5988.2,0.87742,0.75032,1.12405,0.89108,0.87199,0.92497,0.70146,0.89225,0.57886,1.04784,0.002773,0.002773,0.002773
75,6069.22,0.87274,0.74368,1.12287,0.89176,0.87279,0.92577,0.70262,0.89134,0.57808,1.0472,0.002674,0.002674,0.002674
76,6149.92,0.86429,0.73433,1.12107,0.89059,0.87282,0.92585,0.70317,0.89042,0.5771,1.04656,0.002575,0.002575,0.002575
77,6230.41,0.86879,0.73562,1.12044,0.88938,0.87396,0.92603,0.70379,0.88957,0.5762,1.04601,0.002476,0.002476,0.002476
78,6311.15,0.86016,0.73098,1.11712,0.88976,0.87435,0.92611,0.70463,0.88885,0.57502,1.04548,0.002377,0.002377,0.002377
79,6392.15,0.85714,0.72051,1.11542,0.88963,0.87585,0.92627,0.70504,0.88795,0.57384,1.04485,0.002278,0.002278,0.002278
80,6472.65,0.85049,0.71943,1.11333,0.88911,0.87567,0.92621,0.70595,0.88691,0.57247,1.04412,0.002179,0.002179,0.002179
81,6553.15,0.85449,0.72097,1.11275,0.88944,0.87592,0.92694,0.70646,0.88581,0.57151,1.04338,0.00208,0.00208,0.00208
82,6634,0.85,0.71405,1.11,0.89101,0.87475,0.92724,0.70688,0.88475,0.57045,1.04266,0.001981,0.001981,0.001981
83,6714.77,0.84465,0.70985,1.10788,0.89053,0.87526,0.92769,0.7077,0.884,0.56932,1.04197,0.001882,0.001882,0.001882
84,6795.66,0.84716,0.70871,1.10831,0.89159,0.87383,0.92803,0.70799,0.88301,0.56872,1.04128,0.001783,0.001783,0.001783
85,6876.14,0.8433,0.70498,1.10714,0.89305,0.87438,0.9286,0.70844,0.88199,0.56757,1.04049,0.001684,0.001684,0.001684
86,6956.79,0.83362,0.69599,1.10265,0.89091,0.8753,0.92871,0.70923,0.88114,0.56693,1.03985,0.001585,0.001585,0.001585
87,7037.59,0.82646,0.693,1.10275,0.89151,0.87456,0.9289,0.70922,0.8804,0.56588,1.03951,0.001486,0.001486,0.001486
88,7118.64,0.82532,0.68563,1.0969,0.89309,0.87579,0.92925,0.70955,0.87941,0.56515,1.03884,0.001387,0.001387,0.001387
89,7199.37,0.82527,0.68677,1.09592,0.89454,0.87521,0.92938,0.71029,0.87866,0.56441,1.03821,0.001288,0.001288,0.001288
90,7280.07,0.81992,0.68236,1.09347,0.89375,0.87677,0.93004,0.71063,0.87766,0.56333,1.03754,0.001189,0.001189,0.001189
91,7397.29,0.76397,0.52373,1.05035,0.89274,0.87677,0.93028,0.71145,0.87675,0.56231,1.03691,0.00109,0.00109,0.00109
92,7478.34,0.75088,0.50463,1.04588,0.89442,0.87677,0.93051,0.713,0.87528,0.56096,1.03608,0.000991,0.000991,0.000991
93,7558.63,0.74064,0.4962,1.03699,0.8958,0.87659,0.9306,0.71335,0.87381,0.55974,1.03553,0.000892,0.000892,0.000892
94,7638.9,0.73577,0.48888,1.03747,0.89516,0.87714,0.9311,0.71419,0.87212,0.55878,1.03449,0.000793,0.000793,0.000793
95,7719.76,0.72453,0.48013,1.03128,0.8952,0.87751,0.93134,0.71506,0.87059,0.55751,1.03355,0.000694,0.000694,0.000694
96,7800.7,0.71991,0.47593,1.02658,0.89474,0.87971,0.93154,0.71555,0.86886,0.5564,1.03252,0.000595,0.000595,0.000595
97,7880.96,0.7132,0.4691,1.02378,0.89603,0.88082,0.93148,0.71629,0.86766,0.55489,1.03185,0.000496,0.000496,0.000496
98,7961.31,0.7076,0.46416,1.02207,0.89641,0.88118,0.93181,0.71707,0.8664,0.55341,1.0312,0.000397,0.000397,0.000397
99,8041.45,0.70189,0.45742,1.01673,0.89788,0.87976,0.93212,0.71787,0.86502,0.55225,1.03041,0.000298,0.000298,0.000298
100,8121.96,0.6964,0.45567,1.01422,0.89787,0.88008,0.93256,0.7186,0.86384,0.55089,1.02977,0.000199,0.000199,0.000199
