epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3063.39,1.08256,0.96107,1.21507,0.87281,0.87577,0.92662,0.68539,0.93148,0.63336,1.0778,0.005842,0.005842,0.005842
44,3134.44,1.08274,0.95502,1.21691,0.87542,0.87034,0.92708,0.68876,0.92736,0.63029,1.07528,0.005743,0.005743,0.005743
45,3205.22,1.0778,0.95298,1.21724,0.87605,0.87472,0.93139,0.69102,0.92397,0.62577,1.07347,0.005644,0.005644,0.005644
46,3275.78,1.06952,0.94474,1.20938,0.87824,0.87743,0.93195,0.69307,0.91603,0.62071,1.06905,0.005545,0.005545,0.005545
47,3346.45,1.07356,0.94169,1.21216,0.87897,0.87758,0.93201,0.69543,0.91007,0.61876,1.06617,0.005446,0.005446,0.005446
48,3416.94,1.06864,0.93697,1.20801,0.87629,0.88242,0.93204,0.69677,0.9054,0.6133,1.06433,0.005347,0.005347,0.005347
49,3487.63,1.06477,0.93153,1.20381,0.87968,0.88317,0.93357,0.698,0.90207,0.60583,1.06236,0.005248,0.005248,0.005248
50,3558.21,1.06309,0.93238,1.19827,0.87684,0.88694,0.93318,0.69964,0.9002,0.60296,1.06018,0.005149,0.005149,0.005149
51,3628.78,1.04845,0.90762,1.19424,0.88256,0.88196,0.93306,0.70235,0.89635,0.59874,1.05738,0.00505,0.00505,0.00505
52,3699.23,1.04626,0.90323,1.19547,0.88668,0.87754,0.93385,0.70459,0.89177,0.59638,1.05507,0.004951,0.004951,0.004951
53,3769.74,1.03756,0.90297,1.19109,0.88376,0.88272,0.93488,0.70527,0.88781,0.593,1.0527,0.004852,0.004852,0.004852
54,3840.64,1.05048,0.91219,1.19778,0.87964,0.88528,0.93549,0.70671,0.88558,0.59081,1.05033,0.004753,0.004753,0.004753
55,3911.44,1.04215,0.89951,1.193,0.88178,0.88664,0.93772,0.7087,0.88393,0.5881,1.0489,0.004654,0.004654,0.004654
56,3982.12,1.03443,0.88744,1.18363,0.8834,0.88649,0.93901,0.70972,0.88111,0.58514,1.04678,0.004555,0.004555,0.004555
57,4052.64,1.0347,0.89107,1.18635,0.88341,0.88664,0.93948,0.71207,0.87797,0.58313,1.04478,0.004456,0.004456,0.004456
58,4123.23,1.03269,0.88513,1.18526,0.8847,0.88664,0.94011,0.71422,0.87616,0.58,1.04351,0.004357,0.004357,0.004357
59,4194.16,1.02596,0.88407,1.18513,0.88596,0.88773,0.94045,0.71535,0.87392,0.57712,1.04219,0.004258,0.004258,0.004258
60,4265.03,1.01646,0.8703,1.17494,0.88796,0.88498,0.94142,0.71631,0.87096,0.57509,1.04018,0.004159,0.004159,0.004159
