epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3912.13,0.95471,0.8655,1.19648,0.8825,0.85741,0.91997,0.68232,0.94077,0.61908,1.08943,0.005842,0.005842,0.005842
44,4002.31,0.94933,0.85816,1.19142,0.88186,0.8594,0.92009,0.68305,0.93941,0.61605,1.08868,0.005743,0.005743,0.005743
45,4092.63,0.9471,0.84669,1.18872,0.88251,0.8612,0.92041,0.6842,0.93731,0.61375,1.087,0.005644,0.005644,0.005644
46,4183.01,0.94399,0.84476,1.18929,0.88124,0.86449,0.92081,0.68506,0.93522,0.61127,1.08518,0.005545,0.005545,0.005545
47,4273.35,0.94034,0.84192,1.18449,0.88271,0.86531,0.92118,0.68555,0.93313,0.60996,1.08329,0.005446,0.005446,0.005446
48,4363.87,0.93996,0.84032,1.18268,0.88227,0.86514,0.92187,0.6869,0.9321,0.60812,1.08207,0.005347,0.005347,0.005347
49,4454.27,0.93506,0.83012,1.1811,0.88241,0.86777,0.92303,0.68728,0.93094,0.60595,1.08119,0.005248,0.005248,0.005248
50,4544.88,0.93171,0.83244,1.18346,0.88052,0.86914,0.92296,0.68749,0.92922,0.60415,1.07982,0.005149,0.005149,0.005149
51,4635.05,0.93031,0.82336,1.17717,0.8807,0.87061,0.92305,0.68837,0.9275,0.60284,1.07871,0.00505,0.00505,0.00505
52,4725.29,0.92862,0.81648,1.17602,0.88096,0.8716,0.92349,0.68926,0.92606,0.60148,1.07763,0.004951,0.004951,0.004951
53,4815.52,0.92324,0.81065,1.17342,0.88331,0.8704,0.92352,0.6898,0.92443,0.5997,1.07642,0.004852,0.004852,0.004852
54,4906.32,0.92583,0.81417,1.17242,0.88418,0.87024,0.9238,0.6908,0.92337,0.59851,1.07573,0.004753,0.004753,0.004753
55,4996.52,0.91973,0.81083,1.17295,0.88222,0.87111,0.92403,0.69168,0.92212,0.59731,1.07494,0.004654,0.004654,0.004654
56,5086.89,0.9144,0.80551,1.16741,0.88219,0.87122,0.92387,0.69259,0.92134,0.59608,1.07447,0.004555,0.004555,0.004555
57,5177.57,0.91722,0.80545,1.16908,0.8827,0.87139,0.92474,0.69322,0.91993,0.59471,1.07352,0.004456,0.004456,0.004456
58,5267.85,0.91018,0.79788,1.16599,0.8829,0.87188,0.92565,0.69371,0.91896,0.59375,1.073,0.004357,0.004357,0.004357
59,5358.07,0.91076,0.79323,1.16349,0.88217,0.87313,0.92593,0.69479,0.91768,0.59188,1.07235,0.004258,0.004258,0.004258
60,5448.33,0.90549,0.78998,1.16037,0.88114,0.87467,0.92577,0.69498,0.91661,0.59067,1.07136,0.004159,0.004159,0.004159
61,5538.83,0.90012,0.78034,1.1596,0.88056,0.87631,0.92626,0.69563,0.91597,0.58955,1.07115,0.00406,0.00406,0.00406
62,5629.28,0.89752,0.7768,1.15679,0.88296,0.87489,0.92653,0.696,0.91467,0.58827,1.0701,0.003961,0.003961,0.003961
63,5719.43,0.89767,0.77689,1.1566,0.88176,0.875,0.92681,0.69675,0.91392,0.58705,1.06942,0.003862,0.003862,0.003862
64,5809.72,0.89503,0.77203,1.1542,0.88155,0.87467,0.92716,0.69729,0.91291,0.5857,1.06877,0.003763,0.003763,0.003763
65,5900.21,0.88789,0.76106,1.14873,0.88323,0.8759,0.9275,0.69846,0.9117,0.58476,1.06791,0.003664,0.003664,0.003664
66,5990.68,0.88632,0.75907,1.14979,0.88384,0.87738,0.92779,0.69934,0.91076,0.58341,1.06711,0.003565,0.003565,0.003565
67,6080.81,0.88602,0.75987,1.14911,0.8831,0.87857,0.92812,0.69993,0.90951,0.58239,1.06625,0.003466,0.003466,0.003466
68,6171.5,0.87896,0.76024,1.14478,0.8851,0.87686,0.92851,0.70087,0.90883,0.58124,1.06552,0.003367,0.003367,0.003367
69,6262.24,0.88164,0.75314,1.14689,0.88582,0.87582,0.92845,0.70141,0.90759,0.58024,1.06485,0.003268,0.003268,0.003268
70,6352.97,0.87899,0.75326,1.14457,0.8865,0.87796,0.92942,0.70226,0.90704,0.5791,1.06419,0.003169,0.003169,0.003169
71,6443.15,0.86831,0.7404,1.13965,0.88557,0.87746,0.92983,0.7033,0.9062,0.5777,1.0635,0.00307,0.00307,0.00307
72,6533.41,0.87263,0.7448,1.14016,0.88509,0.878,0.93038,0.70379,0.90485,0.57625,1.06271,0.002971,0.002971,0.002971
73,6624.22,0.8659,0.72985,1.13971,0.88611,0.87829,0.93089,0.70446,0.9037,0.57481,1.06177,0.002872,0.002872,0.002872
74,6714.57,0.86645,0.7374,1.1399,0.88719,0.87713,0.93125,0.70456,0.90278,0.57392,1.06102,0.002773,0.002773,0.002773
75,6805.06,0.86156,0.7296,1.13529,0.88861,0.87648,0.93147,0.70565,0.90177,0.57259,1.06016,0.002674,0.002674,0.002674
76,6895.43,0.85622,0.72499,1.13256,0.88772,0.87648,0.93116,0.70585,0.90082,0.57115,1.05928,0.002575,0.002575,0.002575
77,6986.16,0.85254,0.72418,1.12965,0.88908,0.87631,0.93171,0.70694,0.8995,0.56999,1.05816,0.002476,0.002476,0.002476
78,7076.94,0.84958,0.7158,1.12736,0.89003,0.87549,0.93245,0.70749,0.89852,0.56856,1.05721,0.002377,0.002377,0.002377
79,7167.38,0.85338,0.71259,1.12912,0.88952,0.87631,0.93277,0.70795,0.89741,0.56752,1.05646,0.002278,0.002278,0.002278
80,7257.79,0.84069,0.70736,1.1248,0.88999,0.87648,0.93297,0.70851,0.89647,0.5663,1.05555,0.002179,0.002179,0.002179
81,7348.38,0.83947,0.70822,1.12531,0.89124,0.87624,0.93352,0.70893,0.89511,0.56496,1.05449,0.00208,0.00208,0.00208
82,7438.57,0.83419,0.70329,1.12075,0.89284,0.87587,0.93373,0.70961,0.89411,0.5636,1.05363,0.001981,0.001981,0.001981
83,7528.74,0.83029,0.69505,1.11654,0.89337,0.87566,0.93388,0.71077,0.89308,0.56239,1.05267,0.001882,0.001882,0.001882
84,7619.02,0.83164,0.69408,1.11946,0.8952,0.87582,0.93433,0.71136,0.89221,0.56111,1.05198,0.001783,0.001783,0.001783
85,7710,0.82855,0.68684,1.11641,0.89475,0.87582,0.93488,0.71234,0.89113,0.5599,1.05122,0.001684,0.001684,0.001684
86,7800.39,0.8249,0.68523,1.11476,0.89471,0.8752,0.9353,0.71293,0.88979,0.5589,1.05025,0.001585,0.001585,0.001585
87,7890.66,0.82095,0.68268,1.11176,0.89462,0.87599,0.93558,0.71353,0.88841,0.55767,1.04937,0.001486,0.001486,0.001486
88,7981,0.81751,0.67469,1.11185,0.89503,0.87549,0.93591,0.7141,0.88687,0.55646,1.04833,0.001387,0.001387,0.001387
89,8072.04,0.81779,0.67245,1.11124,0.89463,0.87586,0.93599,0.71476,0.88587,0.55508,1.04766,0.001288,0.001288,0.001288
90,8162.67,0.8096,0.66649,1.10663,0.89458,0.87673,0.93656,0.71543,0.88472,0.55364,1.0467,0.001189,0.001189,0.001189
91,8289.67,0.75877,0.51072,1.07439,0.89555,0.87738,0.93656,0.71609,0.88328,0.55226,1.04564,0.00109,0.00109,0.00109
92,8379.76,0.74517,0.48776,1.06319,0.89712,0.87804,0.9371,0.71716,0.88139,0.55101,1.04419,0.000991,0.000991,0.000991
93,8470.38,0.73045,0.4766,1.05886,0.89787,0.87878,0.93762,0.71855,0.87959,0.54958,1.04296,0.000892,0.000892,0.000892
94,8560.46,0.72948,0.47537,1.05736,0.89681,0.87937,0.93768,0.71952,0.87769,0.54789,1.04175,0.000793,0.000793,0.000793
95,8650.39,0.71846,0.46297,1.04932,0.89701,0.87985,0.93823,0.72083,0.87573,0.54634,1.04044,0.000694,0.000694,0.000694
96,8740.54,0.71323,0.46048,1.04927,0.89795,0.88018,0.93856,0.72136,0.87397,0.54476,1.03915,0.000595,0.000595,0.000595
97,8830.85,0.70783,0.45622,1.04381,0.89727,0.88173,0.93904,0.72226,0.87211,0.5431,1.03792,0.000496,0.000496,0.000496
98,8920.7,0.69872,0.44588,1.0371,0.89636,0.88354,0.93929,0.72308,0.87045,0.54172,1.03689,0.000397,0.000397,0.000397
99,9010.42,0.69607,0.44263,1.03772,0.89874,0.88288,0.93962,0.72343,0.86871,0.54015,1.03564,0.000298,0.000298,0.000298
100,9100.16,0.69127,0.44108,1.03518,0.897,0.88551,0.93954,0.72421,0.86685,0.53831,1.03453,0.000199,0.000199,0.000199
