epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4796.37,0.96716,0.89461,1.21136,0.86925,0.84737,0.90205,0.66614,0.94726,0.64426,1.09402,0.005842,0.005842,0.005842
44,4904.96,0.96042,0.88981,1.20682,0.87121,0.84707,0.90321,0.66666,0.94625,0.6423,1.09314,0.005743,0.005743,0.005743
45,5013.12,0.95782,0.88699,1.20525,0.87517,0.84537,0.90344,0.66713,0.94517,0.64029,1.09258,0.005644,0.005644,0.005644
46,5121.81,0.95367,0.88278,1.2016,0.87719,0.84405,0.90403,0.66863,0.9441,0.63833,1.09161,0.005545,0.005545,0.005545
47,5230.59,0.9531,0.8812,1.20207,0.87761,0.84576,0.90504,0.66972,0.94278,0.63658,1.09051,0.005446,0.005446,0.005446
48,5339.04,0.94664,0.86658,1.19699,0.87752,0.84484,0.90517,0.67089,0.9414,0.63526,1.08937,0.005347,0.005347,0.005347
49,5447.94,0.95212,0.86944,1.19984,0.87838,0.84566,0.90546,0.6713,0.9407,0.63361,1.08888,0.005248,0.005248,0.005248
50,5556.86,0.94435,0.87103,1.19874,0.87808,0.84806,0.90596,0.67193,0.93995,0.63226,1.08844,0.005149,0.005149,0.005149
51,5665.07,0.94569,0.86411,1.19733,0.87791,0.84856,0.90632,0.67263,0.93914,0.63063,1.08785,0.00505,0.00505,0.00505
52,5773.98,0.93906,0.85953,1.19255,0.87813,0.84935,0.90673,0.67375,0.93799,0.62907,1.08702,0.004951,0.004951,0.004951
53,5883.04,0.9364,0.86052,1.18882,0.87746,0.84974,0.90736,0.6744,0.93699,0.62716,1.08622,0.004852,0.004852,0.004852
54,5991.55,0.93198,0.8461,1.18849,0.87726,0.85245,0.908,0.67563,0.9357,0.6254,1.08542,0.004753,0.004753,0.004753
55,6099.95,0.93141,0.84449,1.18609,0.8767,0.8539,0.90827,0.67593,0.93505,0.62377,1.08492,0.004654,0.004654,0.004654
56,6209.43,0.93042,0.83846,1.18703,0.87821,0.85337,0.9091,0.67716,0.93387,0.62197,1.08429,0.004555,0.004555,0.004555
57,6317.81,0.92576,0.83551,1.18543,0.87876,0.8539,0.90915,0.67806,0.93279,0.62056,1.08343,0.004456,0.004456,0.004456
58,6426.06,0.92608,0.83042,1.18146,0.87984,0.85469,0.91029,0.67885,0.93166,0.61887,1.0825,0.004357,0.004357,0.004357
